1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.66E-05,8.81E-05,6.85E-05,-3.53E-06,-8.52E-05,-0.000192598,-0.000293375,-0.000306326,-0.000244666,-0.000137823,-2.67E-05,3.13E-05,1.55E-05,-2.28E-05,-3.50E-05,-1.74E-05,1.66E-05,5.29E-05,5.43E-05,2.72E-05,1.41E-05,1.98E-05,2.05E-05,-7.52E-06,-6.71E-05,-8.25E-05,-7.85E-05,-0.000149875,-0.000237976,-0.000254265,-0.0001484,3.67E-05,0.000255917,0.000336307,0.000336923,0.000527413,0.000737176,0.000743056,0.000546841,0.000302454,0.000126092,-1.23E-05,-4.08E-05,-3.43E-05,-2.30E-05,NaN,NaN,0.000369716,0.00034271,0.000262728,0.000111937,-5.96E-05,-6.80E-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.12E-05,2.14E-05,-3.95E-05,-9.29E-05,-0.000125163,-0.000158277,-0.00019625,-0.000196042,-0.000143767,-6.36E-05,-1.54E-05,-2.31E-05,-5.74E-05,-6.73E-05,-4.47E-05,-1.57E-05,-8.14E-06,-2.43E-05,-4.61E-05,-3.74E-05,-1.51E-05,-1.16E-05,-3.01E-06,4.94E-06,-2.90E-05,-8.86E-05,-7.65E-05,-3.86E-05,-7.99E-05,-0.000149862,-0.000131742,3.44E-05,0.000275551,0.000426578,0.000530434,0.000708254,0.000781267,0.000634051,0.000316846,6.65E-05,-7.68E-05,-0.00013366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.53E-05,-4.80E-05,-9.43E-05,-0.00012206,-0.000123967,-0.000106896,-8.02E-05,-4.74E-05,-2.24E-05,-2.64E-05,-7.82E-05,-0.000137459,-0.000150059,-0.000129453,-0.000101325,-6.78E-05,-5.14E-05,-7.76E-05,-0.000100081,-7.25E-05,-3.84E-05,-4.82E-05,-6.31E-05,-5.19E-05,-3.89E-05,-6.06E-05,-7.96E-05,-3.37E-05,-1.37E-07,-6.78E-05,-0.000110775,-3.81E-05,0.000111726,0.000307514,0.000558064,0.000698377,0.00060244,0.000392077,0.000154075,-4.78E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.68E-05,-9.21E-05,-9.17E-05,-7.36E-05,-5.60E-05,-3.27E-05,1.30E-05,4.64E-05,2.51E-05,-5.23E-05,-0.000149335,-0.000210809,-0.000215836,-0.000190245,-0.000157791,-0.000125166,-9.89E-05,-9.55E-05,-0.000103059,-9.12E-05,-7.90E-05,-9.90E-05,-0.000139052,-0.000157177,-0.000138923,-0.000115292,-0.000100828,-6.65E-05,4.79E-06,3.20E-05,-1.53E-05,-4.29E-05,2.77E-05,0.000173069,0.000422997,0.000563219,0.000425057,0.000210182,0.000149176,NaN,NaN,NaN,NaN,0.000104293,0.000179186,0.000129922,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-8.23E-05,-0.00010834,-9.79E-05,-5.20E-05,-3.56E-06,4.36E-05,7.68E-05,6.00E-05,-1.22E-05,-0.00010747,-0.0001744,-0.000193918,-0.000188886,-0.00017301,-0.000142653,-0.00011825,-0.000107236,-0.000103494,-0.000110973,-0.000124293,-0.00013851,-0.000152834,-0.000175308,-0.000193836,-0.0001758,-0.000129511,-7.31E-05,-1.89E-05,5.13E-05,0.000139437,0.00018315,9.29E-05,8.77E-05,0.000264573,0.000417301,0.000458324,0.000329011,0.000169783,0.000117396,NaN,NaN,3.91E-05,7.27E-05,0.000139232,0.00013238,7.53E-05,4.07E-05,2.11E-05,0.000101916,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.77E-05,-7.52E-05,-7.51E-05,-4.21E-05,1.38E-05,6.13E-05,6.86E-05,1.24E-05,-7.81E-05,-0.000139584,-0.00013901,-9.80E-05,-7.09E-05,-7.04E-05,-6.71E-05,-6.55E-05,-8.68E-05,-0.000104715,-0.000110751,-0.000122454,-0.000138325,-0.000144602,-0.000150247,-0.000158026,-0.000147382,-0.000113521,-5.98E-05,-7.21E-06,4.75E-05,0.000121496,0.000196626,0.000357459,0.000174541,0.000381197,0.000519691,0.000427558,0.000254465,4.36E-05,-0.000140233,NaN,-6.32E-05,6.84E-05,0.000107209,NaN,NaN,-8.04E-05,-5.19E-05,-9.67E-05,-0.000139105,-0.000132922,-0.000121266,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.34E-06,-4.31E-05,-4.87E-05,-2.70E-05,7.43E-06,2.34E-05,-1.30E-07,-7.03E-05,-0.00014313,-0.000146292,-8.40E-05,-1.03E-05,2.33E-05,9.47E-06,-1.88E-05,-4.30E-05,-7.84E-05,-0.000106324,-0.000103091,-8.34E-05,-6.32E-05,-6.60E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000428597,0.000533547,0.00040782,0.000219371,6.26E-05,-4.54E-05,-6.88E-05,-5.80E-05,-5.02E-05,-7.42E-05,-0.000175484,-0.000267817,-0.000248663,-0.000233114,-0.000253129,-0.000256636,-0.000252801,-0.000215733,-0.000142346,-9.79E-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.84E-05,-6.22E-05,-5.59E-05,-4.34E-05,-4.71E-05,-8.33E-05,-0.000131254,-0.0001539,-0.000126171,-6.91E-05,-1.99E-05,4.21E-06,-3.06E-06,-3.08E-05,-6.14E-05,-8.43E-05,-9.84E-05,-9.17E-05,-6.61E-05,-5.22E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000572397,0.000511222,0.00031706,0.000115807,6.70E-05,0.000122449,0.000159488,8.24E-05,-4.79E-05,-0.000154748,-0.000213311,-0.000273442,-0.000316449,-0.000340467,-0.000337967,-0.000322652,-0.000306054,-0.000254969,-0.000181263,-0.000129388
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.31E-05,-0.000105468,-0.000102481,-9.51E-05,-0.000103517,-0.000116182,-0.000112353,-9.10E-05,-7.34E-05,-7.14E-05,-7.70E-05,-6.82E-05,-5.63E-05,-6.24E-05,-7.62E-05,-8.04E-05,-7.92E-05,-7.51E-05,-8.35E-05,-0.000101633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000626886,0.00041253,0.000160431,6.09E-06,-1.40E-05,0.000104572,0.000180483,0.000100764,-3.43E-05,-0.000102918,-0.000100454,-0.000139864,-0.000257165,-0.000341475,-0.000352184,-0.000331994,-0.000286303,-0.00024103,-0.000201555,-0.000175253
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.000155096,-0.000135507,-0.000101395,-6.02E-05,-1.84E-05,5.51E-06,-4.31E-06,-4.82E-05,-9.01E-05,-9.98E-05,-8.44E-05,-7.36E-05,-7.19E-05,-6.79E-05,-6.50E-05,-6.68E-05,-9.11E-05,-0.000107857,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000515902,0.000612131,0.000411759,0.000150437,-7.07E-05,-0.000165018,-0.000164019,-9.72E-05,-3.78E-05,-3.07E-05,-3.28E-05,-1.17E-05,3.84E-05,6.51E-05,-1.16E-05,-0.000124055,-0.000184646,-0.000192521,-0.000168193,-0.000164247,-0.00019258,-0.000219017
