1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000396855,0.000375923,0.000152757,-6.59E-05,-0.000155966,-0.000160727,-0.000144131,-8.99E-05,-1.60E-05,5.85E-05,0.00014301,0.00016694,9.02E-05,-9.36E-06,-5.32E-05,-4.11E-05,2.27E-06,3.25E-05,-1.33E-06,-4.74E-05,-1.50E-05,4.17E-05,3.87E-05,-5.36E-06,7.91E-06,6.48E-06,-5.56E-05,-6.16E-05,1.12E-05,2.77E-05,-9.79E-05,-0.000331891,-0.000464365,-0.000278937,0.000136918,0.000735978,0.001158576,0.001070232,0.000711354,0.000394629,0.000118456,-8.99E-05,-0.000131096,-0.000138176,2.73E-05,NaN,NaN,0.00015348,0.000176607,5.64E-05,-0.000233748,-0.000203264,0.000123768
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00042565,0.000346483,8.80E-05,-0.000128942,-0.000225333,-0.000246168,-0.000196649,-6.06E-05,8.50E-05,0.000179438,0.000211929,0.000157163,4.96E-05,-1.68E-05,-2.85E-05,-1.85E-05,1.60E-05,3.10E-05,-1.28E-05,-4.47E-05,-7.23E-06,4.98E-05,4.21E-05,-3.88E-05,-6.16E-05,-1.93E-06,-2.29E-05,-9.78E-05,-6.08E-05,1.65E-05,2.58E-05,-7.62E-05,-0.000247414,-0.000227971,0.000266664,0.000962826,0.001207938,0.000851606,0.000399707,0.000163651,-2.78E-05,-0.000219526,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000380617,0.00027565,3.05E-05,-0.000160499,-0.000228627,-0.000246946,-0.000193694,-2.97E-05,0.000139594,0.000211286,0.000191689,0.000120593,4.08E-05,6.83E-06,8.82E-06,8.70E-06,1.41E-06,-6.61E-06,-1.64E-05,-8.07E-06,1.33E-05,5.13E-05,6.10E-05,-2.96E-05,-9.77E-05,-4.45E-05,1.35E-05,-6.25E-05,-0.000114725,-5.00E-05,8.46E-05,0.000107215,-3.02E-05,-3.32E-05,0.000459308,0.001054992,0.001112786,0.000577036,6.21E-05,-3.33E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00032409,0.000240404,1.78E-05,-0.000163158,-0.000217987,-0.000213832,-0.000142937,-1.05E-06,0.000118381,0.000139255,0.000108066,8.60E-05,5.93E-05,3.84E-05,4.44E-05,4.61E-05,1.18E-05,-2.32E-05,-8.86E-06,2.59E-05,1.81E-05,2.04E-05,3.93E-05,-1.81E-05,-8.55E-05,-5.36E-05,1.46E-05,-3.09E-06,-0.000103296,-0.000120376,5.06E-05,0.000175533,0.000116137,0.000223699,0.000708675,0.001050144,0.000893045,0.00038127,-8.61E-05,NaN,NaN,NaN,NaN,3.98E-05,9.72E-05,6.81E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000292986,0.000234284,5.44E-05,-0.000120158,-0.000183701,-0.000172711,-0.000110138,-2.20E-05,3.37E-05,3.28E-05,3.57E-05,6.48E-05,7.28E-05,7.43E-05,8.52E-05,7.93E-05,3.47E-05,-1.92E-05,-1.39E-05,2.23E-05,8.00E-06,-1.07E-05,-2.00E-06,-3.40E-05,-6.54E-05,-1.59E-05,5.21E-05,5.21E-05,-2.24E-05,-7.81E-05,-2.32E-05,0.000139655,0.000219087,0.000404081,0.000896734,0.001055985,0.000711953,0.000282333,-8.14E-05,NaN,NaN,0.00011281,5.84E-05,0.000111365,0.000104568,-3.88E-06,1.62E-05,7.36E-05,3.95E-05,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000285438,0.000225045,8.23E-05,-6.41E-05,-0.000120693,-0.000127142,-0.000117295,-9.44E-05,-6.57E-05,-3.84E-05,2.34E-05,8.71E-05,8.96E-05,9.50E-05,0.000113454,9.07E-05,3.36E-05,-2.42E-05,-2.72E-05,-3.05E-06,-1.53E-05,-2.55E-05,-2.06E-05,-3.92E-05,-3.57E-05,3.90E-05,0.00010818,0.000112949,5.08E-05,2.97E-05,2.74E-05,4.65E-05,0.000326659,0.000626138,0.000953137,0.000955439,0.000539958,0.000127594,-0.000160136,NaN,8.52E-05,0.000184586,0.000107136,NaN,NaN,-2.60E-05,1.20E-05,5.43E-05,4.64E-05,2.74E-05,-2.51E-05,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00026015,0.000212303,9.22E-05,-2.50E-05,-7.76E-05,-0.000115327,-0.000157542,-0.000180858,-0.000133396,-3.35E-05,8.45E-05,0.000147417,0.000106201,8.59E-05,0.000105219,6.94E-05,2.44E-06,-3.48E-05,-2.40E-05,-4.77E-06,-2.15E-05,-3.35E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000874883,0.000978467,0.000786532,0.000332695,-9.81E-05,-0.000261232,-6.22E-05,0.000203436,0.000260679,6.61E-05,-3.33E-05,-1.95E-05,1.37E-05,6.02E-06,1.26E-05,4.46E-05,5.04E-05,2.96E-05,4.64E-05,6.09E-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000173084,9.25E-05,-3.98E-06,-6.36E-05,-0.000134101,-0.000217851,-0.000248365,-0.000148806,2.59E-05,0.000167657,0.000209337,0.000118915,6.20E-05,7.17E-05,3.91E-05,-2.49E-05,-4.29E-05,-7.13E-06,3.17E-05,3.33E-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001002285,0.000922948,0.000593636,0.000184542,-0.000138548,-0.000264611,-9.41E-05,0.000134772,0.00017242,-9.54E-06,-0.000120965,-4.90E-05,2.13E-05,7.95E-06,2.43E-05,5.43E-05,7.66E-05,0.000110947,0.000123914,0.000120666
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000128943,7.41E-05,1.08E-06,-6.88E-05,-0.000162465,-0.000254331,-0.000261183,-0.000128683,6.55E-05,0.000206194,0.000236613,0.000136607,5.91E-05,5.01E-05,2.06E-05,-3.24E-05,-4.70E-05,-3.21E-06,4.35E-05,9.09E-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000990341,0.000722711,0.000360175,5.42E-05,-8.94E-05,-0.00014334,-9.89E-05,-3.63E-06,1.69E-05,-8.42E-05,-0.00016578,-0.000131344,-5.99E-05,-1.21E-05,4.24E-05,8.50E-05,0.000129287,0.000183144,0.000192597,0.000169423
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.26E-05,-6.09E-05,-0.00015602,-0.000235332,-0.000232042,-0.000108536,5.74E-05,0.000180014,0.000228937,0.000156281,7.55E-05,5.37E-05,2.27E-05,-3.10E-05,-4.92E-05,-1.30E-05,1.95E-05,2.04E-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000440251,0.000772108,0.000767188,0.00046052,0.000170297,-8.57E-06,-4.12E-05,-3.63E-05,-9.08E-05,-7.78E-05,-4.58E-05,-7.48E-05,-0.00014947,-0.000206919,-0.000195009,-8.75E-05,4.00E-05,0.000122471,0.000176849,0.000204728,0.000200615,0.000173274
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.86E-05,-1.58E-05,-8.73E-05,-0.000171922,-0.000195545,-0.000110599,1.90E-05,0.000132604,0.000196904,0.000156792,9.39E-05,6.62E-05,2.94E-05,-2.73E-05,-5.34E-05,-3.13E-05,-2.63E-06,-5.77E-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000354369,0.000578646,0.000703917,0.000534823,0.000241469,2.19E-05,-5.19E-05,-1.44E-05,1.46E-05,-2.76E-05,-3.36E-06,3.50E-05,-5.15E-06,-8.49E-05,-0.00019264,-0.000268142,-0.000186016,-2.24E-05,0.00010591,0.000165716,0.000167862,0.000144521,0.000132813
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.76E-05,8.24E-06,-2.68E-05,-9.86E-05,-0.000143957,-0.000103722,-1.29E-05,9.60E-05,0.000165608,0.000137349,8.66E-05,6.11E-05,2.86E-05,-2.11E-05,-4.74E-05,-4.27E-05,-1.74E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000397743,0.000584255,0.000598546,0.000408109,0.000140528,-5.56E-05,-9.99E-05,-3.49E-06,5.50E-05,6.39E-05,0.000122522,0.000150162,8.83E-05,-3.68E-05,-0.00016692,-0.000258473,-0.00022891,-9.46E-05,4.21E-05,0.000104165,0.000105908,7.90E-05,4.53E-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.07E-06,-2.75E-05,-7.28E-05,-8.56E-05,-3.22E-05,7.42E-05,0.00013057,9.74E-05,5.55E-05,3.82E-05,2.15E-05,-1.15E-05,-3.10E-05,-3.51E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000334687,0.000473351,0.000465112,0.000327145,0.000148806,5.52E-06,-4.11E-05,2.13E-05,6.90E-05,0.000122319,0.000194226,0.000214175,0.000124817,-2.51E-05,-0.000120646,-0.000186927,-0.000197388,-0.00012708,-3.95E-05,5.20E-06,1.25E-05,-4.35E-06,-3.55E-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.47E-05,2.16E-05,-3.36E-05,-7.15E-05,-3.51E-05,5.04E-05,8.89E-05,5.38E-05,2.25E-05,2.86E-05,3.09E-05,7.00E-06,-1.94E-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000216819,0.000336625,0.000331285,0.000262504,0.000180788,0.000113039,9.57E-05,9.77E-05,0.000100281,0.000134895,0.000181685,0.000226229,0.000166021,1.92E-05,-5.07E-05,-9.49E-05,-0.000141738,-0.000138704,-0.000107415,-8.20E-05,-6.49E-05,-6.79E-05,-8.56E-05
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.14E-05,-4.74E-05,-2.95E-05,2.58E-05,5.84E-05,3.01E-05,9.89E-06,3.12E-05,NaN,NaN,-9.16E-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000164748,0.000213315,0.000215626,0.000197897,0.000193038,0.000191058,0.000181254,0.000156776,0.000158225,0.000156312,0.000162782,0.0002197,0.000203398,0.000122962,6.82E-05,1.67E-05,-5.86E-05,-0.000110973,-0.000124135,-0.000116138,-0.000115145,-0.000129991,-0.000133647
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.58E-05,0.000106954,0.000147144,0.000154609,0.000207962,0.000213594,0.000172188,0.000146977,0.000151866,0.000162812,0.000164375,0.000208476,0.000269025,0.000259435,0.000208386,0.000141627,6.23E-05,-1.25E-05,-5.95E-05,-9.34E-05,-0.000139621,-0.000185836,-0.000160674
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.95E-05,-3.45E-05,-8.76E-05,2.45E-05,0.000129721,0.000177601,0.000213058,0.000208222,0.000154584,0.000103391,0.0001114,0.000146814,0.000161195,0.000212533,0.000294156,0.000307017,0.000285877,0.000260972,0.000216931,0.000127327,3.65E-05,-2.81E-05,-0.00010319,-0.000175038,-0.000189571
